"yw","variable","syndrome","season","prop_raw","prop_adj","prop_adj_low","prop_adj_up","cum_prop_raw","cum_prop_adj","cum_prop_adj_low","cum_prop_adj_up","n_total","n_adj","n_weight","n_missing","total_adj","total_weight"
201716,"visit.emergency","covid.ecdc",2016,0,0,NA,NA,0.0229405630865485,0.0243297774231147,0.0142114285242985,0.0387174362994009,2,0,0,NA,2,0.851871544153068
201716,"visit.GP","covid.ecdc",2016,1,1,NA,NA,0.118873826903024,0.115461205335814,0.0933765046415123,0.140648898055358,2,2,0.851871544153068,NA,2,0.851871544153068
201716,"visit.no","covid.ecdc",2016,0,0,NA,NA,0.866527632950991,0.868426389527623,0.841827738438751,0.892024435012049,2,0,0,NA,2,0.851871544153068
201716,"visit.other","covid.ecdc",2016,0,0,NA,NA,0.0145985401459854,0.0142866980581973,0.00721082938673408,0.0252788205484621,2,0,0,NA,2,0.851871544153068
201716,"visit.plan","covid.ecdc",2016,0,0,NA,NA,0.0208550573514077,0.0156901568255636,0.00925946664003839,0.0248145312959127,2,0,0,NA,2,0.851871544153068
201716,"visit.emergency","ili.ecdc",2016,0,0,NA,NA,0.00829875518672199,0.00624396216478433,0.00169367899564254,0.0159569670125579,2,0,0,NA,2,0.851871544153068
201716,"visit.GP","ili.ecdc",2016,1,1,NA,NA,0.12448132780083,0.122992124227259,0.0909998975832828,0.161298660079911,2,2,0.851871544153068,NA,2,0.851871544153068
201716,"visit.no","ili.ecdc",2016,0,0,NA,NA,0.87551867219917,0.893513644667189,0.862216477142351,0.919791139519718,2,0,0,NA,2,0.851871544153068
201716,"visit.other","ili.ecdc",2016,0,0,NA,NA,0.012448132780083,0.00929559947399855,0.00339889012839251,0.0201902893682084,2,0,0,NA,2,0.851871544153068
201716,"visit.plan","ili.ecdc",2016,0,0,NA,NA,0.020746887966805,0.0158053852466819,0.00755786823587414,0.0289929383615752,2,0,0,NA,2,0.851871544153068
201817,"visit.emergency","covid.ecdc",2017,0,0,NA,NA,0.029146426092991,0.0272950550282944,0.0178873545026217,0.039771369494353,4,0,0,NA,4,3.24987388664765
